id,nom_estab,raz_social,nombre_act,tipo_de_cliente,prioridad_venta,tamaño_empresa,potencial_de_compra,tiene_contacto,canal_preferido,telefono,correoelec,www,entidad,municipio,localidad,latitud,longitud
9398980,CORTES SELECTOS TINGUINDIN,CORTES SELECTOS TINGUINDIN SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Alta,Muy Grande,Alto,Sí,Correo,,CORTESELECTOSTINGUINDIN@GMAIL.COM,,Jalisco,ZapotlÃ¡n el Grande,Ciudad GuzmÃ¡n                                                                                                 ,19.71425447,-103.47286324
9452225,JOCOQUI,AGUILARES SPR DE RL,Otros servicios relacionados con la agricultura,Agrícola,Alta,Muy Grande,Alto,Sí,Correo,,ADELA@GRUPOU.MX,,Guanajuato,Apaseo el Grande,Jocoqui                                                                                                       ,20.57948776,-100.69828827
6870242,NUT,NOGALEROS UNIDOS TECNIFICADOS SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Alta,Muy Grande,Alto,Sí,Correo,,ACOPIOLEBARON@GMAIL.COM,,Chihuahua,Galeana,La Angostura                                                                                                  ,30.04821,-107.598363
6740405,SERVICIO DE CORTES BALZA,SERVICIO DE CORTES BALZA SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Alta,Grande,Alto,Sí,Correo,4522031736.0,CORTESBALZABZ@GMAIL.COM,,MichoacÃ¡n de Ocampo,Uruapan,Uruapan                                                                                                       ,19.37167913,-102.05764526
6859005,VIÃEDOS 2000,VIÃEDOS 2000 SOCIEDAD DE PRODUCCION RURAL DE RESPONSABILIDAD LIMITADA,Otros servicios relacionados con la agricultura,Agrícola,Alta,Grande,Alto,Sí,Correo,,REYNA@GRUPOCASTELO.COM,WWW.GRUPOCASTELO.COM,Sonora,Hermosillo,Hermosillo                                                                                                    ,29.08892055,-110.97311062
6861399,VIÃEDOS COSTA,VIÃEDOS COSTA S DE RL DE CV,Otros servicios relacionados con la agricultura,Agrícola,Alta,Grande,Alto,Sí,Correo,,PTF.FACTURAS@GMAIL.COM,,Sonora,Hermosillo,Hermosillo                                                                                                    ,29.08256664,-110.9739832
9246456,VIDEXPORT CAMPO AGRICOLA,VIDEXPORT SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Alta,Grande,Alto,Sí,Correo,,IMECC0706@GMAIL.COM,WWW.VIDEXPORT.COM,Sonora,Hermosillo,Miguel AlemÃ¡n (El Tres)                                                                                       ,28.76940611,-111.63921833
9394300,RANCHO AGRICOLA AGRARIA,ACEITES DE PALMA SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Alta,Grande,Alto,Sí,Correo,,CONTABILIDAD@INDUAGRO.COM.MX,WWW.INDUAGRO.COM.MX,Veracruz de Ignacio de la Llave,JÃ¡ltipan,JÃ¡ltipan de Morelos                                                                                           ,17.95267435,-94.72738584
9017176,OTROS SERVICIOS RELACIONADOS CON LA AGRICULTURA SIN NOMBRE,,Otros servicios relacionados con la agricultura,Agrícola,Alta,Grande,Alto,Sí,Correo,,AGRICOLA.LUDERS@HOTMAIL.COM,,Sonora,Cajeme,Felipe Islas                                                                                                  ,27.29534,-110.005059
4130484,AGRO PRODUCTORES DEL RIO GUAYALEJO,AGROPODUCTORES DEL RÃO GUAYALEJO S DE RL DE CV,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana-Grande,Medio,Sí,Teléfono,8312325785.0,,,Tamaulipas,El Mante,Ciudad Mante                                                                                                  ,22.75258183,-98.96594228
3799347,OTROS SERVICIOS RELACIONADOS CON LA AGRICULTURA,,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana-Grande,Medio,Sí,Teléfono,6688157441.0,,,Sinaloa,Ahome,Los Mochis                                                                                                    ,25.79321361,-108.99527187
3799350,OTROS SERVICIOS RELACIONADOS CON LA AGRICULTURA,,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana-Grande,Medio,Sí,Teléfono,6688157441.0,,,Sinaloa,Ahome,Los Mochis                                                                                                    ,25.79321361,-108.99527187
2136903,SERVICIOS ADMINISTRATIVOS EL NERVION,SERVICIOS ADMINISTRATIVOS EL NERVION SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana-Grande,Medio,Sí,Teléfono,5526139769.0,,,MÃ©xico,La Paz,Tecamachalco                                                                                                  ,19.36194583,-98.95783191
1762270,LA MESA DEL PASTOR,LA MESA DEL PASTOR ,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana-Grande,Medio,Sí,Teléfono,3414134348.0,,,Jalisco,ZapotlÃ¡n el Grande,Ciudad GuzmÃ¡n                                                                                                 ,19.69402197,-103.46901175
1827792,ORGANISMOS BENEFICOS PARA LA AGRICULTURA,ORGANISMOS BENEFICOS PARA LA AGRICULTURA SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana-Grande,Medio,Sí,Teléfono,3173821040.0,,,Jalisco,AutlÃ¡n de Navarro,AutlÃ¡n de Navarro                                                                                             ,19.7755794,-104.36734561
1247547,LABORATORIOS FERTILAB,FERTILIDAD DE SUELOS S DE RL ,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana-Grande,Medio,Sí,Correo,,LABORATORIO@FERTILAB.COM.MX,WWW.FERTILAB.COM.MX,Guanajuato,Celaya,Celaya                                                                                                        ,20.55571576,-100.80803243
6468366,INDUSTRIAL AGROPECUARIA DE SAN PEDRO,INDUSTRIAL AGROPECUARIA DE SAN PEDRO SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana-Grande,Medio,Sí,Correo,,INDAGRO78@YAHOO.COM.MX,,Coahuila de Zaragoza,San Pedro,San Pedro                                                                                                     ,25.755746,-102.977811
6268914,AGROPRODUCTOS DE NAYARIT,AGROPRODUCTOS DE NAYARIT S DE PR DE RL,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana-Grande,Medio,Sí,Correo,,AGROPRODUCTOSDENAYARIT@HOTMAIL.COM,,Nayarit,Santiago Ixcuintla,Sauta                                                                                                         ,21.72955641,-105.14284474
8976301,COMERCIALIZADORA DE BIENES E INSUMOS VALLEMIX,,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Correo,9512284951.0,CVIVALLEMIX@OUTLOOK.COM,,Oaxaca,San Lorenzo Cacaotepec,San Lorenzo Cacaotepec                                                                                        ,17.12145892,-96.82054562
7696773,EQUIPOS Y SISTEMAS LASER,EQUIPOS Y SISTEMAS LASER SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Correo,8717506446.0,JESUS.GONZALEZ@EQLASER.COM,,Coahuila de Zaragoza,TorreÃ³n,TorreÃ³n                                                                                                       ,25.58101968,-103.39032245
2977845,PAPAS SELECTAS RIO FUERTE,PAPAS RIO FUERTE SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Correo,8181359600.0,RIOFUERTE@PRODIGY.NET.MX,,Nuevo LeÃ³n,San NicolÃ¡s de los Garza,San NicolÃ¡s de los Garza                                                                                      ,25.72383826,-100.2608508
6858476,IMPORAGRI,IMPORAGRI SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Correo,8118141971.0,OSACR.CURA@IMPORAGRI.COM,WWW.IMPOGRARI.COM,Nuevo LeÃ³n,Monterrey,Monterrey                                                                                                     ,25.70781601,-100.36863799
3281665,COOPERATIVA UNCAFZIHUAT,COOPERATIVA UNCAFZIHUAT ,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Teléfono,7647635040.0,,,Puebla,Zihuateutla,La UniÃ³n                                                                                                      ,20.25866105,-97.86762225
123184,HOJAS PARA TAMALES,HOJAS PARA TAMALES S DE RL DE CV,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Correo,6642044609.0,EDPREG@YAHOO.COM,,Baja California,Tijuana,Tijuana                                                                                                       ,32.497623,-117.020022
3948345,AGRICOLA LOS PRIMEROS DE COSTA RICA,LOS PRIMEROS DE COSTA RICA ,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Correo,6444149415.0,LOSPRIMEROSDECOSTARICA@HOTMAIL.COM,,Sonora,Cajeme,Ciudad ObregÃ³n                                                                                                ,27.4893683,-109.93587687
1638548,BIOMASA LABORATORIO DE PLANTAS SA DE CV,,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Teléfono,3424220221.0,,,Jalisco,Sayula,Sayula                                                                                                        ,19.87807131,-103.59205381
4379793,OFICINA AGROQUIMICOS DE LOS TUXTLAS,AGROQUIMICOS DE LOS TUXTLASS SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Teléfono,2737380000.0,,,Veracruz de Ignacio de la Llave,Paso del Macho,Paso del Macho                                                                                                ,18.96884786,-96.72289453
3345607,LABORATORIO Y CONSULTORIA ICI,LABORATORIO Y CONSULTORIA ICI SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Correo,2224877366.0,ICI1@LIVE.COM.MX,,Puebla,Puebla,Heroica Puebla de Zaragoza                                                                                    ,19.07210784,-98.23814006
9435737,ORGACHEMICS,ORGACHEMICS SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Correo,,ORGACHEMICS@ORGACHEMICS.COM,WWW.ORGACHEMICS.COM.MX,QuerÃ©taro,San Juan del RÃ­o,El Rosario                                                                                                    ,20.3917274,-100.0632999
8320322,USUARIOS DEL MODULO NO 21 MARGEN IZQUIERDA DEL RIO COLORADO,,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Correo,,MOD21@PRODIGY.NET.MX,,Baja California,Mexicali,Ciudad Coahuila (KilÃ³metro Cincuenta y Siete)                                                                 ,32.18889897,-115.00405185
2599381,AGRICOLA LOS CERRITOS,AGRICOLA LOS CERRITOS SPR DE RL,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Correo,,KARINA.SAAVEDRA@GLC.MX,WWW.GRUPOLOSCERRITOS.COM.MX,MichoacÃ¡n de Ocampo,Los Reyes,Los Reyes de Salgado                                                                                          ,19.59678024,-102.47245444
6859712,LA FORTALEZA AGRICOLA Y AGROPECUARIA DEL BAJIO,LA FORTALEZA AGRICOLA Y AGROPECUARIA DEL BAJIO SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Correo,,IPALOMARES@WORKEN.MX,,Guanajuato,LeÃ³n,LeÃ³n de los Aldama                                                                                            ,21.09775453,-101.65923977
8248032,H DE A SEED,,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Correo,,GRUPO.INVERSIN@GMAIL.COM,,Sinaloa,CuliacÃ¡n,El Diez                                                                                                       ,24.72518213,-107.45773319
8783101,AGRICOLA POBY,AGRICOLA POBY ,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Correo,,GPOVARGASLANDEROS@HOTMAIL.COM,,Sonora,Cajeme,Ciudad ObregÃ³n                                                                                                ,27.47673494,-109.93294626
9390036,AGROPRODUCTOS RAMIREZ,AGROPRODUCTOS RAMIREZ ,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Correo,,FACTURACIONHRC@HOTMAIL.COM,,MichoacÃ¡n de Ocampo,YurÃ©cuaro,Rancho Alegre                                                                                                 ,20.31697955,-102.2500809
7934484,DANIEL FLORES OFICINAS GENERAL DE CORPORATIVO,,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Correo,,DANIEL.FLORES0@ICLOUD.COM,,Chihuahua,AscensiÃ³n,AscensiÃ³n                                                                                                     ,31.0959942,-107.99863647
8248083,MASTER LAB,LABORATORIOS MASTER DE MEXICO SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Correo,,CONTABILIDAD@MASTERLAB.COM.MX,WWW.MASTERLAB.COM.MX,Sinaloa,CuliacÃ¡n,El Diez                                                                                                       ,24.73470472,-107.45496833
9444117,RANCHO AGRICOLA PROVIDENCIA,ACEITES DE PALMA SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Correo,,CONTABILIDAD@INDUAGRO.COM.MX,WWW.INDUAGRO.COM.MX,Veracruz de Ignacio de la Llave,Sayula de AlemÃ¡n,La Esmeralda                                                                                                  ,17.6782013,-94.87107728
6782489,FIBRAS PLASTICAS,COMPAÃIA COMERCIALIZADORA DE FIBRAS SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Media,Mediana,Medio,Sí,Correo,,ADMON.IRAPUATO@FIBRAS.COM.MX,,Guanajuato,Irapuato,Irapuato                                                                                                      ,20.66177848,-101.36405516
6468365,PRODUCTORES LAGUNEROS,PRODUCTORES LAGUNEROS ,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Correo,8711786808.0,PRODUCTORESLAGUNEROS@HOTMAIL.COM,,Coahuila de Zaragoza,San Pedro,San Pedro                                                                                                     ,25.77369084,-102.99112297
315169,OFICINAS DEL RANCHO LA ESTRELLA,,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Teléfono,8696960002.0,,,Coahuila de Zaragoza,Cuatro CiÃ©negas,Cuatro CiÃ©negas de Carranza                                                                                   ,26.98738475,-102.06630163
235333,LAS CORREAS,LAS CORREAS SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Teléfono,8444302325.0,,,Coahuila de Zaragoza,Saltillo,Saltillo                                                                                                      ,25.43207418,-100.96980801
235330,AGROPECUARIA EL TALENTO,AGROPECUARIA EL TALENTO SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Teléfono,8444300019.0,,,Coahuila de Zaragoza,Saltillo,Saltillo                                                                                                      ,25.43206986,-100.96980687
3767548,OFICINA DE AGRICULTOR,,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Teléfono,6688158959.0,,,Sinaloa,Ahome,Los Mochis                                                                                                    ,25.80119189,-108.99834044
3799346,OTROS SERVICIOS RELACIONADOS CON LA AGRICULTURA,,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Correo,6688157441.0,GRUPO_WONG@HOTMAIL.COM,,Sinaloa,Ahome,Los Mochis                                                                                                    ,25.79321361,-108.99527187
3909716,COROCIS,COROSIS ,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Correo,6622140981.0,SPRCOROSIS@HOTMAIL.COM,,Sonora,Hermosillo,Hermosillo                                                                                                    ,29.09128475,-110.97014878
6862345,AGROPECUARIA CHARCOS DE QUEZADA,AGROPECUARIA CHARCOS DE QUEZADA SOCIEDAD DE PRODUCCION RURAL DE RESPONSABILIDAD LIMITADA DE CAPITAL VARIABLE,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Correo,4492853716.0,ADMINISTRACION@AGROPECUARIACHARCOS.COM.MX,,Aguascalientes,Aguascalientes,Aguascalientes,21.906992,-102.309807
2737887,OFICINAS DE SANIDAD VEGETAL,OFICINAS DE SANIDAD VEGETAL DE PRODUCTORES ,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Teléfono,4255355357.0,,,MichoacÃ¡n de Ocampo,MÃºgica,Nueva Italia de Ruiz                                                                                          ,19.02669678,-102.09631685
1640341,AGRIGASER,,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Correo,3424220161.0,AGRIGASER1951@HOTMAIL.COM,,Jalisco,Sayula,Sayula                                                                                                        ,19.88331205,-103.59795005
2879108,EMPACADORA DE HOJA DE MAIZ PARA TAMAL,,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Teléfono,3242760307.0,,,Nayarit,Jala,Jala                                                                                                          ,21.10387471,-104.4319738
3919038,OFICINA DE PRODUCTORA AGRICOLA VICTOR JOSE SANCHEZ CORDOVA SIN NOMBRE,,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Correo,,VJ_SANCHEZC@OTMAIL.COM,,Sonora,Cajeme,Ciudad ObregÃ³n                                                                                                ,27.49965003,-109.95540231
6314564,CAFETALERA TEPUZAPA,CAFETALERA TEPUZAPA SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Correo,,TEPUZAPA@PRODIGY.NET.MX,,Ciudad de MÃ©xico,Tlalpan,Tlalpan                                                                                                       ,19.30170108,-99.18765211
7004801,RANCHO CAMINO REAL,RANCHO CAMINO REAL S DE RL DE CV,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Correo,,RCHOCAMINOREAL_FACTURAS@YAHOOL.COM,,Baja California,San QuintÃ­n,Vicente Guerrero                                                                                              ,30.7258181,-115.9955301
6381064,INTERNACIONAL AGROINDUSTRIAL,INTERNACIONAL AGROINDUSTRIAL SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Correo,,RBUENDIA@INAGRO.COM.MX,,QuerÃ©taro,San Juan del RÃ­o,San Juan del RÃ­o                                                                                              ,20.39605585,-99.98565265
1819181,JUNTA LOCAL DE SANIDAD VEGETAL,DEL MUNICIPIO DE CONCEPCION DE BUENOS AIRES JALISCO AC,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Correo,,JLSVCONCEPCION@HOTMAIL.COM,,Jalisco,ConcepciÃ³n de Buenos Aires,ConcepciÃ³n de Buenos Aires                                                                                    ,19.98013489,-103.2573224
7513272,OFICINAS ADMINISTRATIVAS SIN NOMBRE,VEGFRESH BAJA SUR S DE RL DE CV,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Correo,,FACTURACION@VEGFRESBAJASUR.COM.MX,,Baja California Sur,ComondÃº,Ciudad ConstituciÃ³n                                                                                           ,25.02750371,-111.6695298
9410233,RANCHO AGRICOLA MONTENEGRO,ACEITES DE PALMA SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Correo,,CONTABILIDAD@INDUAGRO.COM.MX,WWW.INDUAGRO.COM.MX,Veracruz de Ignacio de la Llave,Texistepec,XochitlÃ¡n Monte Negro                                                                                         ,17.864773,-94.7455876
8490218,LABORATORIO AGRONOMICO,CONSULTORES AGRONOMICOS SC,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Correo,,CONAGROSC@GMAIL.COM,,Sinaloa,Ahome,Los Mochis                                                                                                    ,25.80603831,-108.98381525
8244605,AGROSEFER,AGROSEFER SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Baja,Pequeña,Bajo,Sí,Correo,,AGROSEFER@HOTMAIL.COM,,Sinaloa,Guasave,Gabriel Leyva Solano (Benito JuÃ¡rez)                                                                          ,25.66363014,-108.63068273
4546469,OFICINAS DEL RANCHO GRAN RETO,,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Teléfono,9868633608.0,,,YucatÃ¡n,TizimÃ­n,TizimÃ­n                                                                                                       ,21.14340775,-88.16275238
8335150,OFICINA DEL RANCHO DON BEDHER,,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Correo,9841369477.0,RASCHIDSAURI@HOTMAIL.COM,,YucatÃ¡n,TizimÃ­n,TizimÃ­n                                                                                                       ,21.15400323,-88.14759638
7696467,AGRICOLA GANADERA G TRES,AGRICOLA GANADERA G TRE S SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Correo,8712681956.0,TESORERIA@GRUPOTRESTORTUGAS.MX,,Coahuila de Zaragoza,TorreÃ³n,TorreÃ³n                                                                                                       ,25.56171289,-103.44927129
4037587,OFICINAS DE AGRO EBANO,AGRO EBANO SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Correo,8332138960.0,AGROEBANO@PRODIGIN.COM.MX,,Tamaulipas,Tampico,Tampico                                                                                                       ,22.24881841,-97.86816406
7840613,JUNTA DE AGUAS Y PRODUCTORES AGROPECUARIOS DEL RIO SALADO DE TLAHUELILPAN S.P.R. DE R.I.,,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Teléfono,7731075523.0,,,Hidalgo,Tlahuelilpan,Tlahuelilpan                                                                                                  ,20.1314832,-99.23129029
8546886,MOLINO AGUIRRE,,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Teléfono,7228378952.0,,,MÃ©xico,Tejupilco,Tejupilco de Hidalgo                                                                                          ,18.89953265,-100.13974686
7166805,INVERNADERO  LA  PIEDRA,,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Teléfono,7228368063.0,,,MÃ©xico,Ocoyoacac,Ocoyoacac                                                                                                     ,19.27685274,-99.4703514
70136,AGROINDUSTRIAS DEL SOL,GRUPO INMOBILIARIO DEL NOROESTE S DE RL DE CV,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Teléfono,6865569043.0,,,Baja California,Mexicali,Mexicali                                                                                                      ,32.64186748,-115.47064934
3799345,OTROS SERVICIOS RELACIONADOS CON LA AGRICULTURA,,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Correo,6688157441.0,GRUPO_WONG@HOTMAIL.COM,,Sinaloa,Ahome,Los Mochis                                                                                                    ,25.79321361,-108.99527187
3799348,OTROS SERVICIOS RELACIONADOS CON LA AGRICULTURA,,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Teléfono,6688157441.0,,,Sinaloa,Ahome,Los Mochis                                                                                                    ,25.79321361,-108.99527187
8243601,DESPACHO AGRICOLA EL BALCON,EL BANCON ,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Correo,6681655586.0,ELBALCONSDERL@GMAIL.COM,,Sinaloa,Ahome,Los Mochis                                                                                                    ,25.79506272,-109.00791074
8557301,AGRO SUELO LAB,,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Correo,6681016154.0,AGROSUELOLAB@HOTMAIL.COM,,Sinaloa,Ahome,Los Mochis                                                                                                    ,25.8108718,-108.98037095
9458695,AGROANALITICA 2 0 0 0,AGROANALITICA 2 0 0 0 SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Correo,6622167721.0,AGROANALITICA200@HOTMAIL.COM,,Sonora,Hermosillo,Hermosillo                                                                                                    ,29.09472857,-111.0129321
3901229,OFICINA DE AGRICULTURA Y GANADERIA,,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Teléfono,6622147005.0,,,Sonora,Hermosillo,Hermosillo                                                                                                    ,29.0945529,-110.93255901
8280709,CAMPRINO,CAMPRINO ,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Teléfono,6461843870.0,,,Baja California,Ensenada,Rodolfo SÃ¡nchez Taboada (Maneadero)                                                                           ,31.72715119,-116.57896345
7622839,IONTEGRADORA AGRICOLA,INTEGRADORA AGRICOLA DEL NORTE S DE RL DE CV,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Correo,6461518728.0,INTEGRADORAAGRICOLADELNORTE@HOTMAIL.COM,,Baja California,Ensenada,Rodolfo SÃ¡nchez Taboada (Maneadero)                                                                           ,31.73054616,-116.57877861
8558326,DESAMEX,DESAMEX SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Teléfono,6444118484.0,,,Sonora,Cajeme,Ciudad ObregÃ³n                                                                                                ,27.46230376,-109.90969654
8890839,EQUIPO AGRICOLA,,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Teléfono,6341054999.0,,,Sonora,Cumpas,Cumpas                                                                                                        ,29.9864679,-109.77744182
7218061,CENTRO O RANCHO PIELAGOS,,Otros servicios relacionados con la agricultura,Agrícola,,,,Sí,Teléfono,6144101890.0,,,Chihuahua,Chihuahua,Chihuahua                                                                                                     ,28.62726395,-106.07184207
